name,longitude,latitude,distance,gain,elevation,reward_scale,address,altitude
acidic-cyan-python,-78.79996001,43.91981863,825.5061421,40,0,1,112JNUn5JsfnuAvdXD1bedVviZZ1oPrvyxDDLcoRKJELXouhWF5d,140
docile-sky-millipede,-78.82083101,43.92207007,871.337539,58,3,0.5,11xowkkf7wPTjqAEgX7shJqS7iJMSrwpaCz9mjBccmnpSLoBXgR,147
cheerful-peach-pheasant,-78.79908318,43.92088999,880.7322333,80,8,1,118svoyi7Es5QFBjNcNT8bhQ7AJvgnKoeZRX5qDQorPhXqZNX9C,145
shaggy-cinnamon-falcon,-78.82109941,43.92165823,889.5016013,12,0,0.5,112gdYHwTi8n6wAhZeUz383h768nqViepPWBBmuG8z4wXfnYxSc6,147
tall-tartan-kestrel,-78.82014533,43.92667255,1008.546619,40,2,1,112sUtNsafzbAavGYTk1EYmuPArJe1WebzVHBkJViej1gyvPz6q6,147
radiant-infrared-ostrich,-78.8223815,43.91791571,1059.962864,80,7,0.533340454,112ZQuhs4wrFuk5tE6brjcKV4XtGmYaRm37VnbDQScqiaxttvVnD,140
original-burgundy-tardigrade,-78.82309291,43.91955517,1066.186095,40,6,0.666671753,112C5jxWh9rvdMiBx2CY26CjMcEnc6vWT8EzurJatUkw4n3WrbuA,121
strong-corduroy-haddock,-78.82239279,43.9163963,1131.522696,58,3,0.5,112RYtuKn3cx8uZJJv92Svy4eQBWJ8VP1ZzHhUBh1ecvRoqeQgHk,140
nutty-mint-oyster,-78.79693949,43.91749056,1133.274131,40,6,1,112ufFvggSLdrJEBD8GUuJ6Q3ETDbWWLAdWPAFoMviSq6SXFnA3V,140
damp-glossy-bee,-78.82441845,43.91642847,1275.096999,40,2,0.666671753,112YsnoXJH2TthySAciMf5CE2gExXxUHhR3gzycUXSrRXvcj4Mo9,121
soft-lava-dog,-78.82627347,43.92327814,1322.691553,58,8,1,112aopwQ836vwd89kX8ietc6y8CrkQ6FgPQe3eudHm4yBvCWCdUz,142
innocent-sand-crow,-78.80831541,43.90918915,1351.342069,80,0,1,112fqBe5PfybE3adEuirpXtYBkuJLnkc1FrXpWHAqMK3tG4eAQQ8,132
mythical-seaweed-orca,-78.82522345,43.91519302,1395.177159,40,3,1,11EiyPi78ZZmL6ywg34H63op6Qe1JoDysdRsgb9JJXyHEzoXSZ6,121
dizzy-green-gazelle,-78.79274014,43.92379096,1416.592258,80,5,1,112TWkcRyCCk7ew1q9gD12ouQkjPVjFEB615AztgTQ3ScS5odXqS,142
magic-raspberry-wren,-78.81021029,43.90737442,1545.958412,80,10,1,11rTL45iQQ7JnZ2Sg2rRsZibGnPkYWnNm33ce2xGjZzrDerQ1d9,132
faithful-pear-barbel,-78.82990942,43.92083913,1596.883842,40,6,1,1124Tm8LP4YSiQso5JQj3ew7NGZyUBWamJ76ihhyJqWyNSQUnhmY,142
delightful-golden-butterfly,-78.83010656,43.92026334,1615.959083,58,4,1,11pVGZmwv2cjhiUcP93iEjD9NxFGcLznA18es9SgBMaFXeALrZv,121
magnificent-admiral-troll,-78.81342372,43.90653944,1661.111696,40,3,1,112PJjK7gWH4VFSjnntxvzfrnzsnEBj3kkh7zdCdbDUYu5eA2bNn,132
crazy-mango-orangutan,-78.82893418,43.92889262,1737.063512,23,0,1,11ozYTNeCHmF4CCzuzqw1n5sQY2nQPDVk3F2qb4j2xhTxYhtU7F,142
short-malachite-sheep,-78.81825168,43.90582056,1840.896332,12,0,1,11RG7sH9dEMkTmFcg3RwDB3NBdrng59AEWf4rDASn9wBCV51s7o,123
tangy-mahogany-turtle,-78.82523143,43.93375525,1846.108735,80,12,1,112jRydb91JKgr443mKcXG3xHh5i71oDp8CW9SXZS7zcm9D5MDRa,163
warm-alabaster-bison,-78.83040257,43.91270634,1893.412739,80,12,0.854705811,112QZwK3kTHEpuMQQ5yhEMc6bKFTGVNzxEB7Tr3CSahbDVtgBa7p,121
magnificent-magenta-mink,-78.83316732,43.92731314,1974.621164,58,9,1,11U9SVgLqL6YTgBuU8ZBiomMj4xhE1PUJF8LmmxHJsxMg4GDyoV,137
zealous-mocha-carp,-78.79048562,43.91033127,1986.870496,80,8,1,11qT8xCJn539GTdH9b1tSQZZP8B5M869bQhpnZncaBuLQ3qVabg,132
droll-butter-liger,-78.79364087,43.90781359,1993.841605,12,0,1,1125mDqhBf2jpSHGYzi99rHNL59VbckS9QFRa6U2sXucgdNJSoHw,132
silly-linen-goblin,-78.81648304,43.93884535,2018.392122,80,5,1,11951VYyfJnzDE4WQEwPdVAZC1Eua2G8gguWQVXLyZKXCXYrMiS,178
faint-midnight-trout,-78.78354587,43.92423919,2152.533946,80,5,1,11jh8q1TQhjc8MNR5JUiqF7UY216KcnsLWnkbBivRaaQmDMVVsx,148
square-tan-zebra,-78.78324122,43.91734141,2196.206468,80,7,1,112MxN5JcWtmVdq4WY9ZioCYyfhnFfiRhzwarhyX9AYamgsxSzRJ,137
careful-sepia-moose,-78.80850045,43.90085344,2273.789985,58,10,0.5,11RwWaJYu2mgvuZHJiaRCmnr84rRiBFVYeTTpjev5WutDr29BtK,119
gorgeous-cyan-snail,-78.83834157,43.92223861,2275.741425,23,5,0.854705811,1123FkP7LdVF2L18YHD5PH6UhRPkjN3DFs2AFjZVcMrrLvNig5tt,137
sleepy-turquoise-rat,-78.80891096,43.90076957,2281.550853,58,10,0.5,112ThJ1R2X3vMvAL7Jy2qonm41TsH6zdz1eWd2mnd9FtVsCBBMsF,119
striped-carbon-porpoise,-78.82038204,43.90145913,2354.68304,80,8,1,11KVngETbEqM42B2mrjvuAs67mwVvynJzLMKUG4VUXeHecAAmNZ,98
droll-pickle-otter,-78.78987127,43.90581718,2361.774628,23,2,1,112q8KPD6isdMQtzkNJP3rJ1Z7WhU5k4Ah1iBEGZPjt6UTJrCtSu,132
curved-carmine-tortoise,-78.83862548,43.91620082,2364.739124,100,6,0.854705811,11Zj63UA2YRkCfxWNxcSYqsqVXzXWBobjHvEjidL77eEZsHJNPz,111
merry-bronze-cheetah,-78.82617766,43.90348657,2364.979927,80,12,1,11tzzVzmRZXpwqjBQvvj6MdCtDjB4JL1AjUsyiKSWNAgxJR5NEW,103
interesting-cider-chameleon,-78.81092002,43.89973457,2395.813712,58,5,1,11FFgJBa7vepaZnNmDapzqdgQq4GweVQkvf7nbsMisB7wWFntGM,119
short-tortilla-ostrich,-78.82869792,43.93813459,2397.864076,58,4,1,112cZC1urP6uFCoxTooA3ZqSTZUMvn1Khjfu2QVBvSP98DumuP3p,163
breezy-oily-piranha,-78.78046506,43.91764004,2409.286105,28,5,1,11TXbKHyvDQGMRTy4h2p2TQEJENYaNzasHSKSpXzq3eAqugmafu,137
spare-cinnabar-dog,-78.78626216,43.90780277,2427.173349,26,3,1,112s4CHrpws6S51RkXXxou4P2pRhFVSjzpWuXz2QavnphMxM2Xr,136
prehistoric-ebony-turtle,-78.83478311,43.93412344,2446.107915,100,7,0.800003052,112u4RqgrmExov5tNHmfoFQSpibPwFiDhLZGZnjyXqztZQgHdFJ,169
warm-lead-tuna,-78.78006181,43.92548524,2451.952482,40,5,1,11v4rjM1hgqxio81HBsVd6MMnSaroCeWacrnx3iGW9S6oFE4924,148
tiny-red-coyote,-78.793054,43.90284789,2461.375442,100,5,0.5,112AQc2GCHaJxnGxHQfFJzR4eTBaGwLCs8juQqPMXMiTEojX6jDk,132
scrawny-red-wasp,-78.84065234,43.92292626,2465.586143,12,4,0.862075806,11FduVZc8vJbtSSytyi5mSmhymS3k28JrnrL832GaFjj87NibfQ,137
early-latte-wallaby,-78.79315277,43.90256007,2483.71891,40,10,0.5,11Yt9mehivYXsVEzf4FGUyUDbSGVqZqwT94KhsjgWhTW8eV8DTY,132
eager-rosewood-cod,-78.83693546,43.93341555,2546.01276,60,8,0.800003052,112A1L5BShy3wyi9NDb7Vg3P4oyduAWwSjn6LdngbuiGYJC87ApR,169
bouncy-iris-seagull,-78.7829214,43.9093766,2548.409828,40,15,1,112933CgJFHQkCMyDfeYvLjZn8bjNE4N9UKNwSBYKR283Pm8teDE,136
howling-lime-pangolin,-78.83605925,43.93448734,2553.076659,40,7,0.800003052,112ZqiU9FfBJhSv6qZUsjp9FFTEAhE9EJWXWMR92GwvtS2mdafAt,169
deep-opal-meerkat,-78.83491465,43.93597106,2579.367627,40,10,0.800003052,11XKPAeR4sJbYfxzNvaZfsVy1NrcWFFivd4r1jkzReZ9Pq7C1sv,169
odd-gingerbread-cod,-78.78146387,43.91065537,2581.086315,40,1,0.5,11cUXAJi4Kc6MmqMJqRUmftGnzm3HGdRReSZbSuG3jg1nUv3RF5,136
ambitious-chartreuse-huskie,-78.83705055,43.93419537,2600.608769,40,7,0.666671753,11LeqfmaeQ3tmtUsiumZuxH5BLHgPMFnmhxMEyAL6JXoFkEWsVr,169
curly-aqua-dragonfly,-78.84243132,43.92033103,2603.952251,40,5,0.854705811,119kR7zxabT7GCuZSySSkDqVYhfgajRwDGYyTuTnuT83WNyG5DX,130
fit-burgundy-reindeer,-78.8285532,43.90175164,2631.372109,28,0,1,11cgf27GE9v6QetbJ5yTEmh6Kv16eLqHLppZVgMt8k41oXBd8xH,94
urban-concrete-mallard,-78.84285861,43.92131465,2636.079507,80,10,0.854705811,11217mWeq4ix6sWNKCc3ciZkR7tkkNirNdbmNbXnxVutMhWvUBp4,130
melodic-arctic-fish,-78.78047271,43.91094678,2637.849391,80,10,0.5,11LBFYLP86zvqNSPqc8xCwky6MnyHwz95tVmZsv3ewCqMWoUp5g,136
rich-glass-crocodile,-78.79302301,43.90071303,2663.360061,40,10,1,1129wCSX2nfeMnL4Cpc2Z9fmm5oi91KDA5SX55vvk6kUdq8cpXoP,128
ancient-eggshell-sardine,-78.79957589,43.89830454,2688.325027,40,2,1,11y5XHN4efjwxfN9iBaRKKyebm8irkiduWtAafE1jeGEDfEiw35,125
fresh-gunmetal-cobra,-78.84264646,43.92751671,2708.817962,58,20,0.5,11252A6ubxG3A9Gvi9ZnT159886AowcNYLvd9fBV5avzypHU3fG7,130
warm-honey-orangutan,-78.83274025,43.93971842,2741.847115,58,7,0.800003052,11SmdETyBBvoF13DksKaQcDjntyeJ2DDrbbnFw3vbAmvTV1cvjQ,180
proud-mercurial-caterpillar,-78.83612265,43.90528987,2747.754658,58,8,1,11DiqfbWUAmhBu6vrbv9gkd64iFaQGHeFXaj7XCmJse6UVJymUr,102
droll-midnight-tuna,-78.83992583,43.93360737,2763.186748,58,7,1,11mpmkQZQMWfJK1wMMrLPRfxKZQbb7q5JkmAm9mS8AXozvka8g4,169
big-rouge-hippo,-78.84402372,43.91679222,2775.072873,58,6,0.854705811,11nCUMpB629Zj6Acm6XdPxb5L4a8eeZmQ31xfHDbARMzaePmKk7,111
orbiting-alabaster-cottonmouth,-78.83468853,43.90353081,2795.321955,58,7,1,112fiC2SVt464R1Mw5uafWRurgzNwxwsv6PMk8LScRXadifN7K73,102
glamorous-felt-robin,-78.78778459,43.9015146,2832.186026,58,7,1,11xwBBmYdVtTzvU5uVkLhNZKGTNEkis3VJxcYW2m4T1v8wmoCvA,128
genuine-eggshell-leopard,-78.84496809,43.92668474,2868.748228,28,0,0.5,113Uh9JABq5b6oxynxsbTL1KjMQGBZMXY3EwzughYgsebrPxcxu,130
sleepy-mulberry-osprey,-78.79299203,43.89857822,2870.735446,70,8,1,11H85x3dmCAZURTcp29xPrGow7GZbc3SfXsehmNgERASgbhNYoN,128
wild-brick-squid,-78.84417057,43.91301377,2891.656241,60,6,0.854705811,11MTdeje3eJwoAk8dreSe67xzN9XMVwddm2VrsRAwfL6bbfPSTx,111
active-umber-pangolin,-78.84609538,43.9241334,2913.173201,80,10,0.826446533,11HA3GrJESN5gyxo5c3iUyBdhzFM9Cqv7zPpmcZpbngyja8rUFs,130
cheery-snowy-bull,-78.82834135,43.94400976,2921.405289,80,8,1,11Ra3Ryfr4Swoj2vNQmAbgd6ek7MywJDC6ZgyAJajSY4qUDbsD1,176
big-lavender-seahorse,-78.78769823,43.90028324,2943.819718,58,10,1,116hV8pAB2T3CMjHTmX9js5Aagbq2xYDnrrhTFLMGzsZKkhRBgf,128
handsome-tortilla-swallow,-78.78384868,43.90222856,2984.802407,26,8,0.5,1129JcNxewBjQk9ftwRd4XjMJ3Ycejjoh5zoxv1Jx8gVaDjifTwT,130
faithful-turquoise-mouse,-78.78384868,43.90222856,2984.802407,40,8,0.5,11tL1D87CMeGNw3Y6WZw85QtWhafaeRmfo6Zh1PB7WpgGki2MYR,130
sour-lilac-kangaroo,-78.84206182,43.90764442,2985.811939,58,9,0.862075806,11ybLcvqApJNJUGneM3CZYwKp2TGLiRwP9siV1mLLmh1QcDPvbR,109
boxy-sapphire-mallard,-78.80131292,43.89509496,2993.433393,40,5,1,112bNM2XzNvADSrV6m2ubZWXxDtwJupdCD1dJwGkzovNhgiupP5z,125
dancing-dijon-squirrel,-78.79051341,43.89801363,3024.312167,28,0,1,11XCPG42DaYj1yq2Z26trMtFrdJtUtYC3DYUxG58jFY7yrY44dQ,128
formal-powder-scallop,-78.84784688,43.9219899,3037.681331,80,8,0.854705811,11ubDqGrhSZYYrdeLzbLMZnkH8GcuvQCjCaceNhz2FmxgpNg8bc,130
shallow-cider-moose,-78.78210753,43.90285146,3037.860107,58,11,1,112mGxjYPLiEksQVZpfUu9g2cDZngsgJPRtZHQJc81cPA2tW5zRk,136
abundant-walnut-caribou,-78.84786775,43.91895098,3049.503734,28,0,0.862075806,11Y5xn8iciVmu7yip8sSnJZgXrcXn6w5tj8ForoVXUJi6vMZKhf,111
plain-pickle-raccoon,-78.79921719,43.89489846,3058.180758,58,11,1,112jCADURtaA9D1pUKNMN58bBA5oYkG4iBVPxCFWbmvJkzwfWJ8c,125
interesting-bamboo-pig,-78.82406647,43.89553094,3075.771579,58,6,1,11gYT7mtL7eL2QuHHahSvPugFEDrYF9ZDr4yYsNGaAUzLr3sLvx,94
crazy-bone-mustang,-78.84628387,43.93177125,3135.330154,40,2,1,112uC2DqUbgxG1j5S1u7m9yPpXhaGJZuBzSx4a6E9QBcUUT8EK28,160
atomic-indigo-hyena,-78.8058123,43.8931054,3149.655413,80,25,1,11AbraGykHNq5M7XqNHRmrgMvX2MVidcyNZqsfuZkgRrcCwQu7u,96
steep-linen-tiger,-78.8216426,43.89406361,3165.301988,80,8,1,112dGLPxLYd6eSozZgt9wX6WxR3KhWofEN3F5Ah1RH2JAsJJ5ZLR,98
hot-aquamarine-crane,-78.81466063,43.89290337,3175.584857,40,3,0.5,11c3s81UihRULbQcwrS2UDpH9ayyoVxGygdGYyi7Yq5qmAS8UZk,84
